osmid,name,cuisine,amenity,latitude,longitude,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,description
286696657,Mama Nissa,algerian;mediterranean,restaurant,48.8657876,2.3453001,,,,,Mo-Sa 12:00-22:30; Mo-We 16:00-18:00 closed,,"Situé à Paris 2, Mama Nissa est un restaurant algérien de Châtelet. Le restaurant propose un grand choix de plats végétariens à deux pas du quartier Les Halles. Sur place, en livraison ou à emporter, les plats de Mama Nissa sont aussi healthy que gourmand"
287612106,Vadrouille,,restaurant,48.8773406,2.3373832,,,,,,,
289424837,Le Voltaire,french,restaurant,48.8591165,2.3302244,,,,,,,
289437629,Kokohana,japanese,restaurant,48.8697776,2.3105917,,,,,,,
289438236,La Table du Lancaster,,restaurant,48.8722601,2.3035046,,,,,,,
289439792,Spoon,,restaurant,48.8686679,2.3066263,,,,,,,
293982722,Le Dix restaurant,,restaurant,48.8671682,2.3656836,,,,,,,
293982723,Léon,friture,restaurant,48.8667526,2.3657202,,,,,,,
293982735,Mon Coco,,restaurant,48.866667,2.3656514,,6,75011,Place de la République,Mo-Su 11:00-05:00,+33 1 47 00 44 10,
293982745,Bong,corean,restaurant,48.8666561,2.3663425,,,,,,,
293986519,Plein Soleil,,restaurant,48.8656439,2.3744745,Paris,90,75011,Avenue Parmentier,,,
294164285,Le Mathurin,,restaurant,48.8780494,2.3721369,,,,,"Mo-Sa 07:00-02:00, Su 09:00-02:00",,
299728241,Le Roi du Pot-au-Feu,french,restaurant,48.8721672,2.326644,Paris,34,75009,Rue Vignon,,+33 1 47 42 37 10,
299728776,Au Banquier,,restaurant,48.8360044,2.3574926,Paris,,75013,Rue du Banquier,,+33 1 43 36 73 46,
299729051,Sala Thaï,,restaurant,48.8237611,2.3626525,,,,,,,
304964735,Sweet KT,japanese,restaurant,48.8477383,2.3484392,,,,,"18:00-22:45, Mo-Sa 11:00-15:30",,
304964873,Invitez Vous chez Nous,,restaurant,48.8415272,2.3511512,,,,,,,
304964997,La P'tite Louise,,restaurant,48.8718873,2.3570864,,,,,Mo-Fr 07:30-01:00; Sa 09:00-01:00; Su 9:00-21:00,,
304965514,Chez Gladines,french,restaurant,48.8288139,2.3506397,,30,75013,Rue des Cinq Diamants,"Mo-Fr 12:00-15:00, 19:00-23:45; Sa, Su 12:00-16:00, 19:00-23:45",+33 9 67 31 96 46,
305903404,Jupi,,restaurant,48.8844355,2.3243334,,,,,,,
305903407,Giulia,mediterranean,restaurant,48.8881228,2.3212456,,,,,,,
305905951,L'Abadache,,restaurant,48.8886141,2.3198123,,,,,,,
305949888,Just BE,,restaurant,48.8879876,2.3341073,,,75018,,,,
305951215,Nawab,,restaurant,48.894047,2.3341991,,,75018,Rue Ordener,,,
306156749,La Cuisine de Philippe,,restaurant,48.8492934,2.3349249,,,,,"Tu-Sa 12:00-14:00,19:00-21:30",+33 1 43 29 76 37,
306911840,Matsuyama,japanese,restaurant,48.841429,2.2990451,Paris,155,75015,Rue Lecourbe,"We-Su 11:30-15:00, Mo-Su 18:30-24:00",+33 1 45 32 96 88,
308007587,Le Refuge des Fondus,,restaurant,48.8844671,2.3410906,,,,,Mo-Su 19:00-02:00,,
308015251,Juicy Pop,,restaurant,48.8717809,2.3937884,,,,,,,
310363590,Café Jussieu,,restaurant,48.8456039,2.3547969,,,,,,,
315780109,La Petite Sœur,,restaurant,48.8300397,2.331099,,,,,"Su, Tu-Th 18:00-00:00; Fr-Sa 18:00-02:00",+33 1 43 21 51 07,
319152464,Taj Mahal,indian,restaurant,48.8374507,2.3523064,,,,,11:00-23:00,,
321921088,Van An,vietnamese,restaurant,48.833417,2.355449,,,,,"Mo-Fr 12:00-14:00,19:00-21:00",,
322093112,Au Chien qui Fume,french,restaurant,48.8457103,2.3192202,,,,,Mo-Fr 07:00-24:00; Sa 08:00-24:00; Su 09:00-21:00,+33 8 91 65 90 93,
322683091,Thaiger,thai,restaurant,48.8523496,2.3444308,,,,,,,
322684264,Tribeca,,restaurant,48.856812,2.3062305,,,,,,,
322807427,Le Terminus Nation,,restaurant,48.848497,2.399551,Paris,1,75020,Cours de Vincennes,Mo-Sa 07:00-21:00,,
322807635,Le Dalou,,restaurant,48.8478383,2.3975522,Paris,30,75012,Place de la Nation,"Mo-Sa 00:00-03:00,05:00-24:00; Su 00:00-24:00",+33 1 43 43 41 38,
323062127,Guenmaï,,restaurant,48.8540277,2.3358692,,,,,,,
324192389,Krishna Bhavan,indian,restaurant,48.8828817,2.3596543,Paris,24,75010,Rue Cail,,+33 1 42 05 78 43,
324311338,Cellar,,restaurant,48.8641427,2.3676774,,,,,,,
329423314,Aux Bons Amis,french;mediterranean,restaurant,48.8742283,2.3755427,,,,,,,
330413545,Le Tournesol,,restaurant,48.8404976,2.3244044,,,,,,,
332431639,La Criée,seafood,restaurant,48.8882137,2.3785003,,,,,"Mo-Fr 11:45-14:30, PH,Sa,Su 11:45-15:00, Su-Th 18:45-22:30, Fr-Su 18:45-23:00",,
335692368,Le Théâtre,french,restaurant,48.8491569,2.2872385,,,,,Mo 09:00-16:00; Tu-Sa 09:00-22:00,,
365136324,Café Juliette,french,restaurant,48.8514932,2.398692,,,,,,,
373741165,Le Bistrot des Plantes,,restaurant,48.8300837,2.3230365,,,,,,,
374235775,Café Charlot,french,restaurant,48.8630156,2.3625783,Paris,38,75003,Rue de Bretagne,Mo-Sa 09:00-01:00; Su 09:00-24:00,+33 1 44 54 03 30,
374247476,L’Estaminet des Enfants Rouges,,restaurant,48.862879,2.361721,Paris,39,75003,Rue de Bretagne,Tu-Sa 09:00-20:00; Su 09:00-16:00,+33 1 42 72 28 12,
385145628,Le Boucl'art,brasserie,restaurant,48.8528282,2.4062488,Paris,99,75020,Rue d'Avron,,+33 1 43 70 79 91,
390266577,Les Pipos,french,restaurant,48.8474779,2.3483547,Paris,2,75005,Rue de l'École Polytechnique,Mo-Sa 09:00-01:00,,
394660622,Hanawa,japanese,restaurant,48.8672258,2.3079158,,,,,,,
408952534,Brasserie Wepler,french,restaurant,48.8838613,2.3277184,Paris,14,75018,Place de Clichy,Mo-Su 08:30-00:30,+33 1 45 22 53 24,
408956768,Le Basilic,french;italian,restaurant,48.8861622,2.3341007,,,75018,,,,
415760035,Le Bon Pêcheur,breakfast;coffee_shop;hot_dog;pizza,restaurant,48.8619895,2.348435,Paris,14,75001,Rue Pierre Lescot,Mo-Su 08:00-00:00,+33 1 42 36 42 05,
415760221,Au Père Tranquille,,restaurant,48.862198,2.3485488,Paris,,75001,,,,
416697829,Le Bistrot des Oies,french,restaurant,48.8718909,2.3674589,,,,,"Mo-Fr 12:00-14:30,19:00-23:00; Tu 12:00-14:30",,
418052349,Piccola Mia,italian,restaurant,48.8664056,2.3652791,,,,,,,
418052784,Indiana,,restaurant,48.8663597,2.3644497,,,,,,,
418053066,Kani,steak_house,restaurant,48.867516,2.3625173,,,,,,,
418061339,Arlecchino,pizza,restaurant,48.8652936,2.3734738,Paris,42,75011,Avenue de la République,,,
418065635,La Mère Lachaise,,restaurant,48.864331,2.3862796,,,,,"Tu-Sa 12:00-14:00,19:00-22:00",,
418073932,Numidia,,restaurant,48.8662414,2.3841221,,,,,,,
418077550,Kouchi Yaki,japanese,restaurant,48.866153,2.3798466,Paris,122,75011,Rue Oberkampf,"Mo-Sa 11:30-15:00,18:00-23:30; Su 18:00-23:30",+33 1 43 55 46 61,
418079771,Le Jumeyrah,,restaurant,48.865106,2.3775521,Paris,101,75011,Rue Saint-Maur,,+33 1 43 14 08 69,
418079773,Taira,thai,restaurant,48.8657923,2.3770745,,,,,,,
418080843,Kyobashi,japanese,restaurant,48.8662313,2.3766863,,,,,"Mo-Su 12:00-15:00,19:00-23:30",,
418080846,Anika,indian,restaurant,48.866856,2.3764374,,,,,"Tu-Sa 12:00-15:00,19:00-23:30",+33 1 48 06 13 04,
418139026,Schmoutz,,restaurant,48.8680409,2.3753921,,,,,19:00-24:00,,
418464718,Flam's,alsatian;flammkuchen,restaurant,48.8598868,2.3476311,Paris,62,75001,Rue des Lombards,Su-Th 11:45-23:30; Fr-Sa 11:45-24:00,+33 1 42 21 10 30,
428028494,La table d'Aligre,french,restaurant,48.8491407,2.3785568,,,,,,,
428037578,Les Bombis,New-french,restaurant,48.846715,2.3839386,Paris,22,75012,Rue Chaligny,"Mo-Sa 12:00-15:00, 19:00-22:30",+33 1 43 45 36 32,
428039662,La commune libre d'Aligre,libre,restaurant,48.8479621,2.3771639,,,75012,,,,
428040083,Nous 4,french,restaurant,48.8468326,2.3790947,Paris,3,75012,Rue Beccaria,,+33 1 75 57 77 48,
428044937,Les Affranchis,,restaurant,48.8484041,2.3725686,Paris,14,75012,Avenue Daumesnil,Mo-Sa 06:00-23:00,,
428045071,Le Botaniste,,restaurant,48.8490362,2.3712506,Paris,32,75012,Rue de Lyon,,+33 1 43 43 17 48,
428045227,Charlet Perrin,,restaurant,48.8477004,2.3736634,,,,,,,
428047882,The Madison,burger,restaurant,48.8447706,2.3779554,,,,,"Mo 11:00-24:00; Tu-Sa 00:00-02:00,11:00-24:00; Su 00:00-02:00",+33 1 71 70 64 66,
428048443,Le Lys d'or,chinese,restaurant,48.8451286,2.3836536,Paris,2,75012,Rue Chaligny,,+33144689888,
428064691,Le Pacha,,restaurant,48.8516706,2.3781819,,8,,Rue de la Main d'Or,,+33148053717,
428064988,Bốn Do,vietnamese,restaurant,48.8465865,2.3816584,Paris,72,75012,Boulevard Diderot,,,
428065105,La cantine Diderot,french,restaurant,48.8466308,2.3820511,,74,75012,Boulevard Diderot,"Mo-Su 12:00-15:15, 18:00-22:30",,
428141439,L'Orient d'Or,chinese,restaurant,48.8739244,2.3454201,,,,,"Tu-Su 12:00-14:30,19:00-22:30; Mo off",,Spécialités du Hunan
428143587,Happy Nouilles,chinese;Lanzhou,restaurant,48.8645203,2.3550824,,,,,We-Mo 11:30-22:00,+33 1 44 59 31 22,
428145559,Nae's Izakaya,,restaurant,48.8628491,2.3522023,,,,,,,
428145874,Poupée,peruvian,restaurant,48.8613333,2.3538187,,,,,,,
428149874,Season,breakfast,restaurant,48.8651196,2.3626307,,,,,,,
428157295,La Cantine du Siam,thai,restaurant,48.8489304,2.376284,,,,,"Mo 19:30-22:30; Tu-Th 12:30-14:30,19:30-22:30; Fr-Sa 12:30-14:30,19:30-23:00",,
428158966,Miyako - 故宫,sushi,restaurant,48.8462483,2.3786596,,,,,"Mo-Sa 11:00-14:30,18:00-22:30",+33 1 46 28 95 77,
428161696,Les Délices du Colonel,asian,restaurant,48.8445906,2.3834045,Paris,10,75012,Place du Colonel Bourgoin,"Mo-Su 10:30-16:00,16:30-22:00",+33984492416,
428164786,Ty Louis,regional,restaurant,48.8492044,2.389514,Paris,240,75012,Rue du Faubourg Saint-Antoine,"Tu-Sa 12:00-15:00,19:00-23:00",+33 1 49 96 60 10,
428165481,Pizza Five,sichuan,restaurant,48.8477398,2.3888781,,,,,,,
428165688,Thaï Kanda,thai,restaurant,48.8476122,2.393034,,,,,"Mo-Sa 11:30-14:30,18:30-22:30",,
428167065,Jodhpur Palace,indian,restaurant,48.8420168,2.3896839,,,,,"Mo-Su 12:00-14:00,19:00-23:00",+33 1 43 40 72 46,
429488766,Le Canon des Gobelins,french,restaurant,48.8367142,2.3522749,,,,,,,
432470096,Osaka Sushi,japanese,restaurant,48.8297431,2.3515115,,,,,,,
433073754,Bistrot Du Jardin,,restaurant,48.8617057,2.3441306,Paris,33,75001,Rue Berger,"Mo 10:00-23:59; Tu-Sa 00:00-01:30, 10:00-23:59; Su 00:00-01:30, 10:00-20:00",+33 1 985 123066,
442545880,Siseng,asian,restaurant,48.8722287,2.365131,Paris,82,75010,Quai de Jemmapes,"Tu-Fr 12:00-15:00,19:00-22:30; Sa-Su 12:00-15:30,19:00-22:30",,
443512892,Le Feu de Mars,,restaurant,48.8275755,2.353231,,,,,,,
446773781,Chérie Coco,,restaurant,48.8758235,2.3834309,Paris,7,75019,Square Bolivar,,+33  1 45 96 05 66,
446819198,Le Dellys,couscous,restaurant,48.8783181,2.3578049,Paris,5,75010,Rue des Deux Gares,Mo-Sa 10:00-02:00; Fr 10:00-24:00,+33 1 40 34 90 74,Bar & restaurant
446882070,Scossa,,restaurant,48.8699373,2.2847393,,,,,,,
446885300,Roméo,,restaurant,48.8701181,2.2849979,Paris,,,,,,
463711511,La Famille,,restaurant,48.8860554,2.3188123,,,,,,,
467120021,Viet Siam,asian,restaurant,48.8741633,2.3754482,,,,,,,
469364973,Lê Mai Vietnam,vietnamese,restaurant,48.8361883,2.4001628,,,,,"Mo-Sa 12:00-14:00,18:00-20:00",,
469364976,Makoto,japanese,restaurant,48.8361733,2.399255,,,,,"Mo-Sa,PH 11:30-14:30, Mo-Su,PH 18:30-22:30",,
469974520,Capri's,,restaurant,48.8355057,2.3978609,,,,,,,
469974776,Piccola Italia,italian,restaurant,48.8385476,2.3962122,,,,,,+33 1 44 74 67 12,
471042291,Le Vingtième,,restaurant,48.8643936,2.4080349,,,,,,,
472351949,Le Swann,french,restaurant,48.8361097,2.4056728,,,,,,,
473827196,Sushi Yuki,japanese;korean,restaurant,48.8347357,2.3876562,Paris,20,75012,Rue Baron Le Roy,,+33 1 43 43 83 57,
473827205,Les Spectacles,,restaurant,48.8394999,2.3803553,Paris,110,75012,Rue de Bercy,,,
473827207,Anco,french,restaurant,48.8393205,2.3806346,,,,,,,
482519854,Signorvino,italian,restaurant,48.8531785,2.3444351,,,,Boulevard Saint-Michel,,,
486121563,L'Aubergeade,french,restaurant,48.8466115,2.3835147,Paris,17,75012,Rue Chaligny,"Tu-Su 19:00-22:00, We-Su 12:00-14:00",+33 1 43 44 33 36,
486121568,Curry Villa,indian,restaurant,48.8464754,2.3834793,Paris,15 bis,75012,Rue Chaligny,"Mo-Su 12:00-14:00, 19:00-23:00",+33 1 43 43 33 21,
489774593,La Boussole,,restaurant,48.85191,2.3341836,,,,,,,
490737598,Chez Francis,french,restaurant,48.8650517,2.3018704,,,,,,,
493729421,Le Cachiquet,french,restaurant,48.8396241,2.4024373,Paris,20,75012,Rue Louis Braille,"Mo-Fr 07:50-15:00, Tu-Fr 17:30-24:00",+33 1 49 28 02 05,
493761037,Capone Nation,pizza;french,restaurant,48.8477852,2.3980971,Paris,8,75012,Avenue du Trône,"Mo-Su 00:00-02:00,07:30-24:00",+33 1 43 43 26 19,
493761038,Chez Prosper,,restaurant,48.8485856,2.3983193,Paris,9,75011,Avenue du Trône,Mo-Su 07:30-01:30,,
493870582,Oh Sushi,japanese;sushi,restaurant,48.8284431,2.3428787,,,,,"Mo-Su 11:00-15:00,18:00-23:00",,
494637303,Le Café Chineur,,restaurant,48.8319371,2.3141252,,,,,,,
494660190,Wako,japanese,restaurant,48.8330479,2.3162878,,92,,Rue Raymond Losserand,"12:00-14:30,19:00-22:30",,
494660394,Shiawase,,restaurant,48.8332281,2.3169449,,,,,"18:30-22:30, Mo-Sa 12:00-14:30",,
495633106,Mosuke,japanese;african,restaurant,48.8362236,2.3223968,,,,,,,
495637361,Chez Farhat,lebanese,restaurant,48.8363661,2.3223018,,8,75014,Rue Raymond Losserand,,+33 1 43 22 91 63,
495667480,Casa Dagusto,columbian,restaurant,48.8324709,2.320014,Paris,25,75014,Rue de Plaisance,"Tu-Th 12:00-15:00, 19:00-22:00; Fr-Sa 12:00-15:00, 19:00-23:00; Su 12:00-16:00",,
495670797,Raon,korean,restaurant,48.832164,2.3202607,,,,,"Tu-Su 12:00-15:00,19:00-23:00",+33 9 86 64 84 69,
495671857,L'Imprévu,pizza,restaurant,48.8324508,2.3207231,,35,,Rue Didot,Mo-Su 08:00-02:00,+33 6 26 76 62 71,
496109850,Bai Thong,thai,restaurant,48.8514297,2.3722999,,,,,,,
496109955,Loulou de Bastille,,restaurant,48.8544625,2.382325,,,,,,,
496110514,Le Goyavier,,restaurant,48.8507756,2.3816053,,,,,,,
497348562,La Galette du Moulin,crepe,restaurant,48.884117,2.3374577,Paris,,75018,,,,
499980286,Foujita,sushi;japanese,restaurant,48.8663999,2.3328148,,,,,"Tu-Su 12:00-14:15,19:00-22:00",,
500255589,Casa Naktel,italian,restaurant,48.8367172,2.3924117,,,,,,,
500255592,Com Sàigòn,asian;vietnamese,restaurant,48.8366661,2.3926576,Paris,10,75012,Rue de Wattignies,,,
500255594,Saray,lebanese,restaurant,48.8366787,2.3933514,,,,,Mo-Su 11:00-23:00,+33 9 53 74 83 74,
508588053,Royal Montgallet,asian,restaurant,48.8432256,2.3893039,Paris,8,75012,Rue Riesener,"Tu-Su 12:00-02:30,19:00-22:30",+33 1 44 73 40 42,
508588057,Toto Sushi,sushi,restaurant,48.8450336,2.3825955,,,,,"Mo-Su 12:00-15:00,19:00-23:00",,
508588068,Thai Time,thai,restaurant,48.8453967,2.3826032,,,,,,+33 1 43 40 40 57,
508588085,Haengbok,korean;barbecue,restaurant,48.8470342,2.3868537,Paris,24,75012,Rue de Reuilly,,,
508588090,Kanji,chinese,restaurant,48.8469567,2.3869061,,,,,"Mo-Sa 11:00-16:00,18:00-23:00",,
